nombre_pais,nombre,item1,valor1,item2,valor2
País de publicación: CO,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA,Observaciones,73,Especies,19
País de publicación: CO,Universidad del Magdalena,Observaciones,68,Especies,7
País de publicación: US,Auburn University Museum,Observaciones,63,Especies,1
País de publicación: ES,Institut Botànic de Barcelona (CSIC-CMCNB),Observaciones,62,Especies,49
País de publicación: CO,Universidad de los Llanos,Observaciones,61,Especies,17
País de publicación: JP,"National Museum of Nature and Science, Japan",Observaciones,59,Especies,24
País de publicación: CA,Royal Ontario Museum,Observaciones,58,Especies,21
País de publicación: CO,Universidad del Tolima,Observaciones,57,Especies,33
País de publicación: CO,CAR - Corporación Autónoma Regional de Cundinamarca,Observaciones,55,Especies,10
País de publicación: BR,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,Observaciones,52,Especies,32
País de publicación: BR,Museu Nacional / UFRJ,Observaciones,50,Especies,21
País de publicación: US,University of Connecticut,Observaciones,50,Especies,4
País de publicación: US,USF Water Institute,Observaciones,49,Especies,28
País de publicación: FR,MNHN - Museum national d'Histoire naturelle,Observaciones,48,Especies,29
País de publicación: NZ,Auckland War Memorial Museum,Observaciones,46,Especies,30
País de publicación: US,Duke University Herbarium,Observaciones,44,Especies,26
País de publicación: ES,Museu de Ciències Naturals de Barcelona,Observaciones,44,Especies,5
País de publicación: CO,Universidad Tecnológica del Chocó,Observaciones,43,Especies,6
País de publicación: US,University of Texas at El Paso Biodiversity Collections,Observaciones,41,Especies,11
País de publicación: US,"Walter Reed Biosystematics Unit, Smithsonian Institution",Observaciones,41,Especies,22
País de publicación: CO,CDMB - Corporación Autónoma Regional Para la Defensa de la Meseta de Bucaramanga,Observaciones,40,Especies,3
País de publicación: CO,Asociación SELVA: Investigación para la Conservación en el Neotrópico,Observaciones,36,Especies,5
País de publicación: BG,Biodiversity Data Journal,Observaciones,34,Especies,2
País de publicación: CO,Corporación Centro de Investigación en Palma de Aceite - CENIPALMA,Observaciones,30,Especies,1
País de publicación: US,University of Tennessee Herbarium,Observaciones,30,Especies,26
País de publicación: CO,Fundación Trópico Alto,Observaciones,29,Especies,15
País de publicación: US,Texas A&M University Insect Collection,Observaciones,29,Especies,4
País de publicación: US,Botanical Research Institute of Texas,Observaciones,26,Especies,19
País de publicación: FR,Musée des Confluences,Observaciones,26,Especies,10
País de publicación: CO,Universidad Icesi,Observaciones,26,Especies,14
País de publicación: FI,Finnish Biodiversity Information Facility,Observaciones,25,Especies,15
País de publicación: DK,Natural History Museum of Denmark,Observaciones,25,Especies,2
País de publicación: DE,naturgucker.de,Observaciones,24,Especies,18
País de publicación: AU,Centre for Australian National Biodiversity Research,Observaciones,22,Especies,2
País de publicación: CO,Tecnológico de Antioquia,Observaciones,21,Especies,8
País de publicación: SE,Lund Botanical Museum (LD),Observaciones,20,Especies,13
País de publicación: US,USDA-ARS US National Fungus Collection,Observaciones,20,Especies,15
País de publicación: CO,Universidad del Quindío,Observaciones,20,Especies,12
País de publicación: US,University of Michigan Museum of Zoology,Observaciones,20,Especies,9
País de publicación: US,Arizona State University Biocollections,Observaciones,19,Especies,14
País de publicación: BR,"Instituto de Botânica, São Paulo",Observaciones,19,Especies,16
País de publicación: TW,Taiwan Forestry Research Institute,Observaciones,19,Especies,8
País de publicación: CH,Muséum d'histoire naturelle de la Ville de Genève - MHNG,Observaciones,18,Especies,3
País de publicación: US,Western Foundation of Vertebrate Zoology,Observaciones,18,Especies,17
País de publicación: BR,Instituto Nacional de Pesquisas da Amazônia - INPA,Observaciones,17,Especies,12
País de publicación: US,"Natural Science Research Laboratory, Museum of Texas Tech University (TTU)",Observaciones,17,Especies,2
País de publicación: SE,"Museum of Evolution, Uppsala University",Observaciones,16,Especies,10
País de publicación: DE,Staatliche Naturwissenschaftliche Sammlungen Bayerns,Observaciones,16,Especies,11
País de publicación: US,University of Kentucky,Observaciones,16,Especies,1
País de publicación: BE,Royal Belgian Institute of Natural Sciences,Observaciones,15,Especies,1
País de publicación: US,Illinois Natural History Survey,Observaciones,13,Especies,6
País de publicación: US,University of Minnesota Bell Museum,Observaciones,12,Especies,11
País de publicación: US,Delaware Museum of Natural History,Observaciones,11,Especies,6
País de publicación: DK,Herbarium of the University of Aarhus,Observaciones,11,Especies,10
País de publicación: CO,InvBasa,Observaciones,11,Especies,6
País de publicación: US,Louisiana State University Herbarium,Observaciones,11,Especies,10
País de publicación: PT,Museu Nacional de História Natural e da Ciência,Observaciones,11,Especies,-
País de publicación: US,US National Plant Germplasm System,Observaciones,11,Especies,4
País de publicación: CO,Universidad Católica de Oriente,Observaciones,11,Especies,-
País de publicación: KR,Wooseokheon Natural History Museum,Observaciones,11,Especies,-
País de publicación: SE,University of Gothenburg,Observaciones,10,Especies,7
País de publicación: CO,Asociación Primatológica Colombiana,Observaciones,9,Especies,3
País de publicación: CO,Centro Nacional de Investigaciones del Café - Cenicafé,Observaciones,9,Especies,3
País de publicación: CO,Jardín Botánico del Quindío,Observaciones,9,Especies,5
País de publicación: DE,Senckenberg,Observaciones,9,Especies,6
País de publicación: BR,FIOCRUZ - Oswaldo Cruz Foundation,Observaciones,8,Especies,2
País de publicación: AR,Museo Argentino de Ciencias Naturales,Observaciones,8,Especies,3
País de publicación: AU,Tasmanian Museum and Art Gallery,Observaciones,8,Especies,1
País de publicación: CO,Universidad Tecnológica de Pereira,Observaciones,8,Especies,3
País de publicación: CO,Asociación Colombiana de Ictiólogos,Observaciones,7,Especies,4
País de publicación: US,"Colorado State University, C.P. Gillette Museum of Arthropod Diversity",Observaciones,7,Especies,2
País de publicación: US,Cornell Plant Pathology Herbarium (CUP),Observaciones,7,Especies,6
País de publicación: US,"Margaret H. Fulford Herbarium, University of Cincinnati (CINC)",Observaciones,7,Especies,6
País de publicación: PL,"University of Gdańsk, Dept. of Plant Taxonomy and Nature Conservation",Observaciones,7,Especies,4
País de publicación: AU,Australia's Virtual Herbarium,Observaciones,6,Especies,2
País de publicación: US,"California State University, Long Beach",Observaciones,6,Especies,5
País de publicación: CO,Museo Entomológico de Comfenalco - Antioquia,Observaciones,6,Especies,-
País de publicación: US,Natural History Museum of Utah (UMNH),Observaciones,6,Especies,4
País de publicación: US,North Carolina State University Insect Collection,Observaciones,6,Especies,3
País de publicación: BR,Universidade Federal de Minas Gerais,Observaciones,6,Especies,6
País de publicación: NL,Laboratory of Nematology,Observaciones,5,Especies,-
País de publicación: NL,Natural History Museum Rotterdam,Observaciones,5,Especies,4
País de publicación: AT,"Natural History Museum, Vienna",Observaciones,5,Especies,4
País de publicación: US,Berkeley Natural History Museums,Observaciones,4,Especies,1
País de publicación: AR,Museo de La Plata,Observaciones,4,Especies,1
País de publicación: US,Odonata Central,Observaciones,4,Especies,4
País de publicación: EE,Tallinn Botanic Garden,Observaciones,4,Especies,4
País de publicación: GB,UK Polar Data Centre,Observaciones,4,Especies,3
País de publicación: US,Cheadle Center for Biodiversity and Ecological Restoration,Observaciones,3,Especies,1
País de publicación: CA,McGill University,Observaciones,3,Especies,1
País de publicación: US,Moore Laboratory of Zoology,Observaciones,3,Especies,3
País de publicación: BR,Museu Botânico Municipal,Observaciones,3,Especies,3
País de publicación: US,San Diego Natural History Museum,Observaciones,3,Especies,2
País de publicación: US,Santa Barbara Museum of Natural History,Observaciones,3,Especies,1
País de publicación: DE,Staatliches Museum für Naturkunde Stuttgart,Observaciones,3,Especies,2
País de publicación: CO,Universidad de Ciencias Aplicadas y Ambientales U.D.C.A,Observaciones,3,Especies,1
País de publicación: BR,Universidade Federal do Rio Grande do Sul,Observaciones,3,Especies,3
País de publicación: US,University of Colorado Museum of Natural History,Observaciones,3,Especies,3
País de publicación: GB,Birda,Observaciones,2,Especies,2
País de publicación: CO,Enel Colombia,Observaciones,2,Especies,1
País de publicación: CO,Instituto Tecnológico Metropolitano,Observaciones,2,Especies,2
País de publicación: DE,Leibniz Institute for the Analysis of Biodiversity Change (LIB),Observaciones,2,Especies,-
País de publicación: BE,Meise Botanic Garden,Observaciones,2,Especies,2
País de publicación: JP,"National Institute of Genetics, ROIS",Observaciones,2,Especies,2
País de publicación: BR,Universidade Estadual de Campinas - Instituto de Biologia,Observaciones,2,Especies,1
País de publicación: CA,Université de Montréal Biodiversity Centre,Observaciones,2,Especies,1
País de publicación: US,Utah State University,Observaciones,2,Especies,2
País de publicación: US,A.J. Cook Arthropod Research Collection,Observaciones,1,Especies,1
País de publicación: US,"Brigham Young University, Arthropod Collection",Observaciones,1,Especies,1
País de publicación: NL,"Centre for Genetic Resources, The Netherlands",Observaciones,1,Especies,1
País de publicación: US,"Charles Gardner Shaw Mycological Herbarium, Washington State University",Observaciones,1,Especies,1
País de publicación: US,Denver Museum of Nature & Science,Observaciones,1,Especies,1
País de publicación: ES,Department of Plant Biology. Faculty of Biological Sciences. Univ. Murcia,Observaciones,1,Especies,1
País de publicación: GB,"Department of Zoology, Cambridge",Observaciones,1,Especies,1
País de publicación: BR,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP), Universidade de São Paulo (USP)",Observaciones,1,Especies,-
País de publicación: US,Fairchild Tropical Botanic Garden,Observaciones,1,Especies,1
País de publicación: BE,Flanders Marine Institute,Observaciones,1,Especies,1
País de publicación: NG,Forestry Research Institute of Nigeria,Observaciones,1,Especies,1
País de publicación: US,Frost Entomological Museum,Observaciones,1,Especies,1
País de publicación: US,Georgia Museum of Natural History (GMNH),Observaciones,1,Especies,1
País de publicación: AT,"Haus der Natur Salzburg, Museum für Natur und Technik",Observaciones,1,Especies,1
País de publicación: CO,Instituto Colombiano de Medicina Tropical - ICTM,Observaciones,1,Especies,1
País de publicación: AR,Instituto de Botánica Darwinion - CONICET,Observaciones,1,Especies,1
País de publicación:,International Union for Conservation of Nature,Observaciones,1,Especies,1
País de publicación: CO,"Jardín Botánico de Cartagena ""Guillermo Piñeres""",Observaciones,1,Especies,1
País de publicación: RU,Lomonosov Moscow State University,Observaciones,1,Especies,1
País de publicación: US,Michigan State University Herbarium,Observaciones,1,Especies,1
País de publicación: BR,Museu Paraense Emílio Goeldi,Observaciones,1,Especies,1
País de publicación: DE,Museum für Naturkunde Berlin,Observaciones,1,Especies,-
País de publicación: NO,Norwegian University of Science and Technology,Observaciones,1,Especies,1
País de publicación: US,Texas A&M University S.M. Tracy Herbarium (TAES),Observaciones,1,Especies,-
País de publicación: ES,Universidad de Salamanca. Nucleus,Observaciones,1,Especies,1
País de publicación: BR,Universidade Estadual de Feira de Santana,Observaciones,1,Especies,1
País de publicación: BR,Universidade de São Paulo,Observaciones,1,Especies,1
País de publicación: US,University of Alabama Biodiversity and Systematics,Observaciones,1,Especies,1
País de publicación: US,University of Arkansas,Observaciones,1,Especies,1
País de publicación: US,University of Georgia Collection of Arthropods,Observaciones,1,Especies,1
País de publicación: AT,"University of Graz, Institute of Plant Sciences",Observaciones,1,Especies,1
País de publicación: US,University of Minnesota Insect Collection,Observaciones,1,Especies,-
País de publicación: US,University of Nebraska State Museum,Observaciones,1,Especies,1
País de publicación: EE,"University of Tartu, Natural History Museum and Botanical Garden",Observaciones,1,Especies,1
País de publicación: US,University of Tennessee - Chattanooga (UTC),Observaciones,1,Especies,-
País de publicación: US,University of Washington Burke Museum,Observaciones,1,Especies,1
País de publicación: US,Virginia Tech Insect Collection,Observaciones,1,Especies,-
País de publicación: AU,Western Australian Museum,Observaciones,1,Especies,-
