nombre_pais,nombre,item1,valor1,item2,valor2
País de publicación: CO,Universidad de Nariño,Observaciones,233,Especies,157
País de publicación: CO,Universidad Pedagógica y Tecnológica de Colombia,Observaciones,223,Especies,45
País de publicación: CO,Aïgos SAS,Observaciones,218,Especies,80
País de publicación: CZ,Charles University - Herbarium collections & Department of Botany,Observaciones,217,Especies,9
País de publicación: FR,MNHN - Museum national d'Histoire naturelle,Observaciones,214,Especies,115
País de publicación: NO,University of Oslo,Observaciones,197,Especies,105
País de publicación: US,Sam Noble Oklahoma Museum of Natural History,Observaciones,192,Especies,8
País de publicación: US,University of Texas at El Paso Biodiversity Collections,Observaciones,191,Especies,48
País de publicación: CH,Conservatoire et Jardin botaniques de la Ville de Genève - G,Observaciones,188,Especies,136
País de publicación: CO,Universidad de los Llanos,Observaciones,185,Especies,55
País de publicación: US,USF Water Institute,Observaciones,182,Especies,96
País de publicación: BR,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP), Universidade de São Paulo (USP)",Observaciones,180,Especies,18
País de publicación: US,Delaware Museum of Natural History,Observaciones,174,Especies,87
País de publicación: CA,Canadian Museum of Nature,Observaciones,164,Especies,91
País de publicación: JP,"National Museum of Nature and Science, Japan",Observaciones,160,Especies,73
País de publicación: BR,Museu Nacional / UFRJ,Observaciones,158,Especies,77
País de publicación: GB,"Department of Zoology, Cambridge",Observaciones,134,Especies,5
País de publicación: DK,Herbarium of the University of Aarhus,Observaciones,120,Especies,66
País de publicación: US,Western Foundation of Vertebrate Zoology,Observaciones,113,Especies,76
País de publicación: CO,"Instituto de Hidrología, Meteorología y Estudios Ambientales de Colombia - Ideam",Observaciones,107,Especies,55
País de publicación: DE,Staatliche Naturwissenschaftliche Sammlungen Bayerns,Observaciones,107,Especies,58
País de publicación: CO,Universidad del Quindío,Observaciones,107,Especies,44
País de publicación: CO,Fundación Trópico Alto,Observaciones,105,Especies,52
País de publicación: US,Duke University Herbarium,Observaciones,103,Especies,50
País de publicación: CO,Construcciones y Ambiente Conambiente S.A.S,Observaciones,101,Especies,44
País de publicación: US,"University of Texas at Austin, Biodiversity Collections",Observaciones,96,Especies,48
País de publicación: BR,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,Observaciones,95,Especies,50
País de publicación: SE,Lund Botanical Museum (LD),Observaciones,95,Especies,85
País de publicación: CO,Secretaría Distrital de Ambiente,Observaciones,94,Especies,11
País de publicación: AR,Centro de Estudios Parasitológicos y de Vectores (CEPAVE),Observaciones,83,Especies,13
País de publicación: US,Clemson University Arthropod Collection,Observaciones,81,Especies,2
País de publicación: EE,PlutoF,Observaciones,80,Especies,30
País de publicación: NZ,Auckland War Memorial Museum,Observaciones,79,Especies,37
País de publicación: US,Consortium of Pacific Northwest Herbaria,Observaciones,79,Especies,17
País de publicación: VE,Universidad Central de Venezuela,Observaciones,79,Especies,-
País de publicación: US,University of Connecticut,Observaciones,76,Especies,8
País de publicación: US,University of Minnesota Insect Collection,Observaciones,76,Especies,-
País de publicación: CO,Alcaldía Municipal de Cogua en Cundinamarca,Observaciones,70,Especies,15
País de publicación: US,Louisiana State University Herbarium,Observaciones,69,Especies,41
País de publicación: NZ,Landcare Research,Observaciones,68,Especies,58
